A1,V1,A2,V2,A3,V3,A4,V4,A5,V5,A6,V6
7,1e-16                ,6,5.995e-13           ,5,1.497601e-9       ,4,0.000001995503599 ,3,0.0014960044976 ,2,0.598501998501   
8,2.62143e-11          ,7,1.95291285e-8       ,6,0.000006064121343 ,5,0.00100369019906  ,4,0.0924743489903 ,3,4.10651587713    
9,3.87158345e-8        ,8,0.0000083961042275  ,7,0.000757045924745 ,6,0.0360200984421   ,5,0.923154887346  ,4,10.4400595335    
10,0.0000068332056247  ,9,0.000601469722077   ,8,0.0218944515554   ,7,0.415561494945    ,6,4.15125361053   ,5,17.61068214      
11,0.000374597778889   ,10,0.0157933128862    ,9,0.274125884166    ,8,2.46107849239     ,7,11.4839191223   ,6,22.3647085905    
12,0.00977452594028    ,11,0.214927814169     ,10,1.94150605042    ,9,9.03731170432     ,8,21.7387745537   ,7,21.6577053514    
13,0.152685364124      ,12,1.8029990946       ,11,8.75790727786    ,10,21.9332519576    ,9,28.3738510522   ,8,15.1793052536    
14,1.63859849116       ,13,10.0690938915      ,12,25.6549238247    ,11,33.9629222649    ,10,23.382515974   ,9,6.69194555368    
15,13.2080236788       ,14,36.3839376097      ,13,42.9491023911    ,12,27.1743523809    ,11,9.1736192323   ,10,1.31096470724   
16,84.9905364703       ,15,51.5126383917      ,14,20.3997770087    ,13,4.97849592076    ,12,0.678941214158 ,11,0.0396109944105 
